name,sku,basePrice,compareAtPrice,stockOnHand,categoryName,brandName,shortDescription,description,imageUrl
Wool Throw Burgundy,GRS-0001,28,,17,Textiles & home,Bursa Atelier,Wool throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-throw-burgundy-1-1/600/600|https://picsum.photos/seed/wool-throw-burgundy-1-2/600/600|https://picsum.photos/seed/wool-throw-burgundy-1-3/600/600|https://picsum.photos/seed/wool-throw-burgundy-1-4/600/600
Denim Bracelet Navy,GRS-0002,41,,34,Accessories,Anatolia Co.,Denim bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-bracelet-navy-2-1/600/600|https://picsum.photos/seed/denim-bracelet-navy-2-2/600/600|https://picsum.photos/seed/denim-bracelet-navy-2-3/600/600
Canvas Sneakers Burgundy,GRS-0003,54,79,51,Footwear,House label,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-3-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-3-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-3-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-3-4/600/600
Silk Crossbody Bag Navy,GRS-0004,67,,68,Bags & leather goods,Aysel Tekstil,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-4-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-4-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-4-3/600/600
Suede Shirt Burgundy,GRS-0005,80,,85,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-5-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-5-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-5-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-5-4/600/600
Velvet Towel Navy,GRS-0006,93,133,102,Textiles & home,Anatolia Co.,Velvet towel in navy,Handcrafted velvet towel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-towel-navy-6-1/600/600|https://picsum.photos/seed/velvet-towel-navy-6-2/600/600|https://picsum.photos/seed/velvet-towel-navy-6-3/600/600
Linen Sunglasses Burgundy,GRS-0007,106,,119,Accessories,House label,Linen sunglasses in burgundy,Handcrafted linen sunglasses finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-sunglasses-burgundy-7-1/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-7-2/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-7-3/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-7-4/600/600
Leather Boots Navy,GRS-0008,119,,16,Footwear,Aysel Tekstil,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-8-1/600/600|https://picsum.photos/seed/leather-boots-navy-8-2/600/600|https://picsum.photos/seed/leather-boots-navy-8-3/600/600
Cashmere Clutch Burgundy,GRS-0009,132,147,33,Bags & leather goods,Bursa Atelier,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-9-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-9-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-9-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-9-4/600/600
Cotton Kaftan Navy,GRS-0010,145,,50,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-10-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-10-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-10-3/600/600
Wool Table Runner Burgundy,GRS-0011,158,,67,Textiles & home,House label,Wool table runner in burgundy,Handcrafted wool table runner finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-table-runner-burgundy-11-1/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-11-2/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-11-3/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-11-4/600/600
