name,sku,basePrice,compareAtPrice,stockOnHand,categoryName,brandName,shortDescription,description,imageUrl
Wool Throw Burgundy,GRS-0001,28,,73,Textiles & home,Bursa Atelier,Wool Throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Navy,GRS-0002,28,38,97,Textiles & home,Bursa Atelier,Wool Throw in navy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Black,GRS-0003,28,,28,Textiles & home,Bursa Atelier,Wool Throw in black,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Olive,GRS-0004,28,,97,Textiles & home,Bursa Atelier,Wool Throw in olive,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Cream,GRS-0005,28,38,78,Textiles & home,Bursa Atelier,Wool Throw in cream,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Mustard,GRS-0006,28,,86,Textiles & home,Bursa Atelier,Wool Throw in mustard,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Charcoal,GRS-0007,28,,87,Textiles & home,Bursa Atelier,Wool Throw in charcoal,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Wool Throw Tan,GRS-0008,28,38,62,Textiles & home,Bursa Atelier,Wool Throw in tan,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/30324277/pexels-photo-30324277.jpeg|https://images.pexels.com/photos/27471093/pexels-photo-27471093.jpeg|https://images.pexels.com/photos/27471098/pexels-photo-27471098.jpeg|https://images.pexels.com/photos/27471099/pexels-photo-27471099.jpeg
Cotton Cushion Burgundy,GRS-0009,22,,26,Textiles & home,Anatolia Co.,Cotton Cushion in burgundy,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Navy,GRS-0010,22,30,81,Textiles & home,Anatolia Co.,Cotton Cushion in navy,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Black,GRS-0011,22,,18,Textiles & home,Anatolia Co.,Cotton Cushion in black,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Olive,GRS-0012,22,,34,Textiles & home,Anatolia Co.,Cotton Cushion in olive,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Cream,GRS-0013,22,30,70,Textiles & home,Anatolia Co.,Cotton Cushion in cream,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Mustard,GRS-0014,22,,16,Textiles & home,Anatolia Co.,Cotton Cushion in mustard,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Charcoal,GRS-0015,22,,89,Textiles & home,Anatolia Co.,Cotton Cushion in charcoal,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Cotton Cushion Tan,GRS-0016,22,30,97,Textiles & home,Anatolia Co.,Cotton Cushion in tan,Handcrafted cotton cushion finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/19836809/pexels-photo-19836809.jpeg|https://images.pexels.com/photos/37023122/pexels-photo-37023122.jpeg|https://images.pexels.com/photos/34772403/pexels-photo-34772403.jpeg|https://images.pexels.com/photos/20395988/pexels-photo-20395988.jpeg
Wool Area Rug Burgundy,GRS-0017,145,,12,Textiles & home,House label,Wool Area Rug in burgundy,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Navy,GRS-0018,145,196,21,Textiles & home,House label,Wool Area Rug in navy,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Black,GRS-0019,145,,79,Textiles & home,House label,Wool Area Rug in black,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Olive,GRS-0020,145,,50,Textiles & home,House label,Wool Area Rug in olive,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Cream,GRS-0021,145,196,60,Textiles & home,House label,Wool Area Rug in cream,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Mustard,GRS-0022,145,,53,Textiles & home,House label,Wool Area Rug in mustard,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Charcoal,GRS-0023,145,,81,Textiles & home,House label,Wool Area Rug in charcoal,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Wool Area Rug Tan,GRS-0024,145,196,29,Textiles & home,House label,Wool Area Rug in tan,Handcrafted wool area rug finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34601066/pexels-photo-34601066.jpeg|https://images.pexels.com/photos/28428694/pexels-photo-28428694.jpeg|https://images.pexels.com/photos/28097127/pexels-photo-28097127.jpeg|https://images.pexels.com/photos/37760323/pexels-photo-37760323.jpeg
Linen Table Runner Burgundy,GRS-0025,19,,53,Textiles & home,Aysel Tekstil,Linen Table Runner in burgundy,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Linen Table Runner Navy,GRS-0026,19,26,62,Textiles & home,Aysel Tekstil,Linen Table Runner in navy,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
